měsíc,Zdeněk Hřib,Adam Zábranský,Vít Šimral,Eva Horáková,Viktor Mahrik,Tomáš Murňák,Jaromír Beránek,Michaela Krausová,Ondřej Kallasch,Daniel Mazur,Tibor Vansa,Jiří Dohnal,Pavel Hájek,Martin Arden,Ladislav Kos,Anneta Heidlová,Jana Komrsková
2018-10,130308,103102,103102,89067,87637,88237,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2018-11,130308,103102,103102,89067,87637,89137,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2018-12,130308,103102,103102,89067,87637,88237,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-01,130308,103102,103102,89067,87637,89137,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-02,130308,103102,103102,89067,87637,89137,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-03,130308,103102,103102,89067,87637,89137,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-04,130308,103102,103102,89067,87637,89137,87637,48199,6444,6444,6444,24487,19547,15400,21680,N/A,N/A
2019-05,130308,103102,103102,89067,87637,89137,87637,43199,6444,1225,1225,24487,19547,15400,21680,N/A,N/A
2019-06,130308,103102,103102,89067,87637,87637,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-07,130308,103102,103102,89067,87637,87637,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-08,130308,103102,103102,89067,87637,87637,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-09,130308,103102,103102,89067,87637,87637,87637,43199,7130,N/A,N/A,24487,19547,15400,21680,11416,N/A
2019-10,130308,103102,103102,89067,87637,87637,87637,43199,7130,N/A,N/A,N/A,19547,15400,21680,11416,N/A
2019-11,130308,103102,103102,89067,87637,87637,87637,18360,7130,N/A,N/A,N/A,N/A,14383,21680,11416,6644
2019-12,130308,103102,103102,89067,87637,87637,87637,18360,7130,N/A,N/A,N/A,N/A,15400,21680,11416,12235
